function,year,amount,sheet
050 National Defense:,1962,0.0,hist03z2
051 Department of Defense-Military:,1962,0.0,hist03z2
Military Personnel,1962,16331.0,hist03z2
Operation and Maintenance,1962,11594.0,hist03z2
Procurement,1962,14532.0,hist03z2
"Research, Development, Test, and Evaluation",1962,6319.0,hist03z2
Military Construction,1962,1347.0,hist03z2
Family Housing,1962,259.0,hist03z2
Other,1962,-271.0,hist03z2
"051 Subtotal, Department of Defense-Military",1962,50111.0,hist03z2
053 Atomic energy defense activities,1962,2074.0,hist03z2
054 Defense-related activities,1962,160.0,hist03z2
150 International Affairs:,1962,0.0,hist03z2
151 International development and humanitarian assistance,1962,2883.0,hist03z2
152 International security assistance,1962,1958.0,hist03z2
153 Conduct of foreign affairs,1962,249.0,hist03z2
154 Foreign information and exchange activities,1962,197.0,hist03z2
155 International financial programs,1962,353.0,hist03z2
"250 General Science, Space, and Technology:",1962,0.0,hist03z2
251 General science and basic research,1962,497.0,hist03z2
"252 Space flight, research, and supporting activities",1962,1226.0,hist03z2
270 Energy:,1962,0.0,hist03z2
271 Energy supply,1962,533.0,hist03z2
272 Energy conservation,1962,0.0,hist03z2
274 Emergency energy preparedness,1962,0.0,hist03z2
"276 Energy information, policy, and regulation",1962,71.0,hist03z2
300 Natural Resources and Environment:,1962,0.0,hist03z2
301 Water resources,1962,1290.0,hist03z2
302 Conservation and land management,1962,376.0,hist03z2
303 Recreational resources,1962,123.0,hist03z2
304 Pollution control and abatement,1962,70.0,hist03z2
306 Other natural resources,1962,186.0,hist03z2
350 Agriculture:,1962,0.0,hist03z2
351 Farm income stabilization,1962,3222.0,hist03z2
352 Agricultural research and services,1962,340.0,hist03z2
370 Commerce and Housing Credit:,1962,0.0,hist03z2
371 Mortgage credit,1962,650.0,hist03z2
372 Postal service,1962,797.0,hist03z2
373 Deposit insurance,1962,-394.0,hist03z2
376 Other advancement of commerce,1962,371.0,hist03z2
400 Transportation:,1962,0.0,hist03z2
401 Ground transportation,1962,2855.0,hist03z2
402 Air transportation,1962,818.0,hist03z2
403 Water transportation,1962,617.0,hist03z2
407 Other transportation,1962,0.0,hist03z2
450 Community and Regional Development:,1962,0.0,hist03z2
451 Community development,1962,266.0,hist03z2
452 Area and regional development,1962,179.0,hist03z2
453 Disaster relief and insurance,1962,23.0,hist03z2
"500 Education, Training, Employment, and Social Services:",1962,0.0,hist03z2
"501 Elementary, secondary, and vocational education",1962,482.0,hist03z2
502 Higher education,1962,328.0,hist03z2
503 Research and general education aids,1962,58.0,hist03z2
504 Training and employment,1962,189.0,hist03z2
505 Other labor services,1962,74.0,hist03z2
506 Social services,1962,110.0,hist03z2
550 Health:,1962,0.0,hist03z2
551 Health care services,1962,528.0,hist03z2
552 Health research and training,1962,580.0,hist03z2
554 Consumer and occupational health and safety,1962,89.0,hist03z2
570 Medicare:,1962,0.0,hist03z2
571 Medicare,1962,0.0,hist03z2
600 Income Security:,1962,0.0,hist03z2
601 General retirement and disability insurance (excluding social security),1962,661.0,hist03z2
602 Federal employee retirement and disability,1962,1951.0,hist03z2
603 Unemployment compensation,1962,3809.0,hist03z2
604 Housing assistance,1962,165.0,hist03z2
605 Food and nutrition assistance,1962,275.0,hist03z2
609 Other income security,1962,2338.0,hist03z2
650 Social Security:,1962,0.0,hist03z2
651 Social security,1962,14365.0,hist03z2
700 Veterans Benefits and Services:,1962,0.0,hist03z2
701 Income security for veterans,1962,3978.0,hist03z2
"702 Veterans education, training, and rehabilitation",1962,151.0,hist03z2
703 Hospital and medical care for veterans,1962,1084.0,hist03z2
704 Veterans housing,1962,242.0,hist03z2
705 Other veterans benefits and services,1962,172.0,hist03z2
750 Administration of Justice:,1962,0.0,hist03z2
751 Federal law enforcement activities,1962,269.0,hist03z2
752 Federal litigative and judicial activities,1962,111.0,hist03z2
753 Federal correctional activities,1962,49.0,hist03z2
754 Criminal justice assistance,1962,0.0,hist03z2
800 General Government:,1962,0.0,hist03z2
801 Legislative functions,1962,178.0,hist03z2
802 Executive direction and management,1962,12.0,hist03z2
803 Central fiscal operations,1962,492.0,hist03z2
804 General property and records management,1962,403.0,hist03z2
805 Central personnel management,1962,22.0,hist03z2
806 General purpose fiscal assistance,1962,212.0,hist03z2
808 Other general government,1962,28.0,hist03z2
809 Deductions for offsetting receipts,1962,-299.0,hist03z2
900 Net Interest:,1962,0.0,hist03z2
901 Interest on Treasury debt securities (gross),1962,9120.0,hist03z2
902 Interest received by on-budget trust funds,1962,-824.0,hist03z2
903 Interest received by off-budget trust funds,1962,-609.0,hist03z2
908 Other interest,1962,-797.0,hist03z2
909 Other investment income,1962,0.0,hist03z2
950 Undistributed Offsetting Receipts:,1962,0.0,hist03z2
"951 Employer share, employee retirement (on-budget)",1962,-5042.0,hist03z2
"952 Employer share, employee retirement (off-budget)",1962,-221.0,hist03z2
953 Rents and royalties on the Outer Continental Shelf,1962,-12.0,hist03z2
954 Sale of major assets,1962,0.0,hist03z2
959 Other undistributed offsetting receipts,1962,0.0,hist03z2
050 National Defense:,1963,0.0,hist03z2
051 Department of Defense-Military:,1963,0.0,hist03z2
Military Personnel,1963,16256.0,hist03z2
Operation and Maintenance,1963,11874.0,hist03z2
Procurement,1963,16632.0,hist03z2
"Research, Development, Test, and Evaluation",1963,6376.0,hist03z2
Military Construction,1963,1144.0,hist03z2
Family Housing,1963,563.0,hist03z2
Other,1963,-1696.0,hist03z2
"051 Subtotal, Department of Defense-Military",1963,51147.0,hist03z2
053 Atomic energy defense activities,1963,2041.0,hist03z2
054 Defense-related activities,1963,212.0,hist03z2
150 International Affairs:,1963,0.0,hist03z2
151 International development and humanitarian assistance,1963,3079.0,hist03z2
152 International security assistance,1963,2185.0,hist03z2
153 Conduct of foreign affairs,1963,346.0,hist03z2
154 Foreign information and exchange activities,1963,201.0,hist03z2
155 International financial programs,1963,-503.0,hist03z2
"250 General Science, Space, and Technology:",1963,0.0,hist03z2
251 General science and basic research,1963,534.0,hist03z2
"252 Space flight, research, and supporting activities",1963,2516.0,hist03z2
270 Energy:,1963,0.0,hist03z2
271 Energy supply,1963,451.0,hist03z2
272 Energy conservation,1963,0.0,hist03z2
274 Emergency energy preparedness,1963,0.0,hist03z2
"276 Energy information, policy, and regulation",1963,80.0,hist03z2
300 Natural Resources and Environment:,1963,0.0,hist03z2
301 Water resources,1963,1448.0,hist03z2
302 Conservation and land management,1963,357.0,hist03z2
303 Recreational resources,1963,148.0,hist03z2
304 Pollution control and abatement,1963,87.0,hist03z2
306 Other natural resources,1963,212.0,hist03z2
350 Agriculture:,1963,0.0,hist03z2
351 Farm income stabilization,1963,4047.0,hist03z2
352 Agricultural research and services,1963,337.0,hist03z2
370 Commerce and Housing Credit:,1963,0.0,hist03z2
371 Mortgage credit,1963,-592.0,hist03z2
372 Postal service,1963,770.0,hist03z2
373 Deposit insurance,1963,-423.0,hist03z2
376 Other advancement of commerce,1963,307.0,hist03z2
400 Transportation:,1963,0.0,hist03z2
401 Ground transportation,1963,3090.0,hist03z2
402 Air transportation,1963,851.0,hist03z2
403 Water transportation,1963,655.0,hist03z2
407 Other transportation,1963,0.0,hist03z2
450 Community and Regional Development:,1963,0.0,hist03z2
451 Community development,1963,233.0,hist03z2
452 Area and regional development,1963,307.0,hist03z2
453 Disaster relief and insurance,1963,34.0,hist03z2
"500 Education, Training, Employment, and Social Services:",1963,0.0,hist03z2
"501 Elementary, secondary, and vocational education",1963,553.0,hist03z2
502 Higher education,1963,426.0,hist03z2
503 Research and general education aids,1963,55.0,hist03z2
504 Training and employment,1963,203.0,hist03z2
505 Other labor services,1963,84.0,hist03z2
506 Social services,1963,137.0,hist03z2
550 Health:,1963,0.0,hist03z2
551 Health care services,1963,623.0,hist03z2
552 Health research and training,1963,722.0,hist03z2
554 Consumer and occupational health and safety,1963,106.0,hist03z2
570 Medicare:,1963,0.0,hist03z2
571 Medicare,1963,0.0,hist03z2
600 Income Security:,1963,0.0,hist03z2
601 General retirement and disability insurance (excluding social security),1963,632.0,hist03z2
602 Federal employee retirement and disability,1963,2233.0,hist03z2
603 Unemployment compensation,1963,3344.0,hist03z2
604 Housing assistance,1963,179.0,hist03z2
605 Food and nutrition assistance,1963,284.0,hist03z2
609 Other income security,1963,2633.0,hist03z2
650 Social Security:,1963,0.0,hist03z2
651 Social security,1963,15788.0,hist03z2
700 Veterans Benefits and Services:,1963,0.0,hist03z2
701 Income security for veterans,1963,4215.0,hist03z2
"702 Veterans education, training, and rehabilitation",1963,95.0,hist03z2
703 Hospital and medical care for veterans,1963,1145.0,hist03z2
704 Veterans housing,1963,-104.0,hist03z2
705 Other veterans benefits and services,1963,171.0,hist03z2
750 Administration of Justice:,1963,0.0,hist03z2
751 Federal law enforcement activities,1963,288.0,hist03z2
752 Federal litigative and judicial activities,1963,124.0,hist03z2
753 Federal correctional activities,1963,53.0,hist03z2
754 Criminal justice assistance,1963,0.0,hist03z2
800 General Government:,1963,0.0,hist03z2
801 Legislative functions,1963,176.0,hist03z2
802 Executive direction and management,1963,13.0,hist03z2
803 Central fiscal operations,1963,542.0,hist03z2
804 General property and records management,1963,439.0,hist03z2
805 Central personnel management,1963,22.0,hist03z2
806 General purpose fiscal assistance,1963,232.0,hist03z2
808 Other general government,1963,63.0,hist03z2
809 Deductions for offsetting receipts,1963,-257.0,hist03z2
900 Net Interest:,1963,0.0,hist03z2
901 Interest on Treasury debt securities (gross),1963,9895.0,hist03z2
902 Interest received by on-budget trust funds,1963,-895.0,hist03z2
903 Interest received by off-budget trust funds,1963,-582.0,hist03z2
908 Other interest,1963,-678.0,hist03z2
909 Other investment income,1963,0.0,hist03z2
950 Undistributed Offsetting Receipts:,1963,0.0,hist03z2
"951 Employer share, employee retirement (on-budget)",1963,-5188.0,hist03z2
"952 Employer share, employee retirement (off-budget)",1963,-242.0,hist03z2
953 Rents and royalties on the Outer Continental Shelf,1963,-367.0,hist03z2
954 Sale of major assets,1963,0.0,hist03z2
959 Other undistributed offsetting receipts,1963,0.0,hist03z2
050 National Defense:,1964,0.0,hist03z2
051 Department of Defense-Military:,1964,0.0,hist03z2
Military Personnel,1964,17422.0,hist03z2
Operation and Maintenance,1964,11932.0,hist03z2
Procurement,1964,15351.0,hist03z2
"Research, Development, Test, and Evaluation",1964,7021.0,hist03z2
Military Construction,1964,1026.0,hist03z2
Family Housing,1964,550.0,hist03z2
Other,1964,-717.0,hist03z2
"051 Subtotal, Department of Defense-Military",1964,52585.0,hist03z2
053 Atomic energy defense activities,1964,1902.0,hist03z2
054 Defense-related activities,1964,270.0,hist03z2
150 International Affairs:,1964,0.0,hist03z2
151 International development and humanitarian assistance,1964,3367.0,hist03z2
152 International security assistance,1964,1830.0,hist03z2
153 Conduct of foreign affairs,1964,231.0,hist03z2
154 Foreign information and exchange activities,1964,207.0,hist03z2
155 International financial programs,1964,-690.0,hist03z2
"250 General Science, Space, and Technology:",1964,0.0,hist03z2
251 General science and basic research,1964,766.0,hist03z2
